customer_id,month,total_txn_amt,avg_txn_amt,num_txns
1001,Sep,21000,700,30
1002,Sep,28000,933,30
1003,Sep,8000,400,20
1004,Sep,15000,500,30
1005,Sep,12000,600,20
1006,Sep,3000,300,10
1007,Sep,35000,875,40
1008,Sep,10000,500,20
1009,Sep,6000,300,20
1010,Sep,9000,450,20
1011,Aug,18000,600,30
1012,Jul,12000,400,30
1013,Sep,24000,800,30
1014,Aug,15000,500,30
1015,Sep,32000,640,50
1016,Sep,28000,933,30
1017,Jul,40000,800,50
1018,Aug,36000,900,40
1019,Sep,9000,450,20
1020,Jul,11000,367,30
1021,Aug,27000,900,30
1022,Sep,18000,600,30
1023,Jul,45000,750,60
1024,Sep,16000,533,30
1025,Aug,22000,733,30
1026,Sep,15000,500,30
1027,Jul,12000,400,30
1028,Sep,25000,625,40
1029,Aug,8000,400,20
1030,Jul,19000,633,30
1031,Sep,30000,750,40
1032,Sep,21000,700,30
1033,Jul,34000,850,40
1034,Aug,28000,933,30
1035,Sep,12000,400,30
1036,Sep,17000,566,30
1037,Aug,26000,867,30
1038,Jul,9000,450,20
1039,Sep,31000,775,40
1040,Jul,15000,500,30
1041,Aug,22000,550,40
1042,Sep,26000,866,30
1043,Jul,8000,400,20
1044,Aug,33000,825,40
1045,Sep,29000,725,40
1046,Sep,15000,500,30
1047,Aug,12000,400,30
1048,Jul,40000,800,50
1049,Sep,23000,767,30
1050,Aug,10000,500,20
1051,Jul,14000,467,30
1052,Aug,28000,933,30
1053,Sep,35000,875,40
1054,Jul,6000,300,20
1055,Sep,32000,800,40
1056,Aug,25000,625,40
1057,Jul,9000,450,20
1058,Aug,42000,700,60
1059,Sep,17000,566,30
1060,Jul,38000,950,40
1061,Sep,11000,367,30
1062,Jul,23000,767,30
1063,Sep,24000,800,30
1064,Aug,19000,633,30
1065,Jul,15000,500,30
1066,Aug,9000,450,20
1067,Sep,26000,867,30
1068,Jul,21000,700,30
1069,Aug,17000,566,30
1070,Sep,30000,750,40
1071,Jul,33000,825,40
1072,Aug,20000,500,40
1073,Sep,27000,900,30
1074,Jul,35000,875,40
1075,Sep,10000,500,20
1076,Aug,16000,533,30
1077,Sep,40000,800,50
1078,Jul,19000,633,30
1079,Aug,12000,400,30
1080,Sep,21000,700,30
1081,Jul,24000,800,30
1082,Aug,15000,500,30
1083,Sep,26000,867,30
1084,Jul,8000,400,20
1085,Aug,30000,750,40
1086,Sep,18000,600,30
1087,Jul,28000,933,30
1088,Sep,19000,633,30
1089,Aug,40000,800,50
1090,Jul,9000,450,20
1091,Sep,23000,767,30
1092,Aug,16000,533,30
1093,Jul,32000,800,40
1094,Sep,22000,550,40
1095,Aug,10000,500,20
1096,Jul,27000,900,30
1097,Sep,34000,850,40
1098,Aug,15000,500,30
1099,Jul,19000,633,30
1100,Sep,30000,750,40
1101,Aug,42000,700,60
1102,Jul,31000,775,40
1103,Sep,9000,450,20
1104,Aug,27000,900,30
1105,Jul,13000,433,30
1106,Sep,35000,875,40
1107,Aug,24000,800,30
1108,Jul,20000,500,40
1109,Sep,32000,640,50
1110,Aug,14000,467,30
1111,Jul,9000,450,20
1112,Sep,28000,933,30
1113,Aug,10000,500,20
1114,Jul,25000,625,40
